0,Till I Collapse,Eminem,1
1,25 To Life,Eminem,1
2,A Century Ends,David Gray,1
3,ANIC,Sum 41,1
4,Rain Man,Eminem,1
5,Reason to Believe,Sum 41,1
6,Requiem,Lamb of God,1
7,Rid Of Me,Pj Harvey,1
8,Ride The Lightning,Metallica,1
9,Ridin',"Chamillionaire,sway",1
10,Rootless Tree,Damien Rice,1
11,Rush,Talib Kweli,1
12,Screaming For Vengeance,Judas Priest,1
13,Send It Up,"King Louie,Kanye West",1
14,Sermon,Drowning Pool,1
15,Shade Of Blue,Black Rebel Motorcycle Club,1
16,Shitlist,L7,1
17,Sick,Adelitas Way,1
18,Skinny Little Bitch,Hole,1
19,Skinnyman,Static-X,1
20,So Bad,Eminem,1
21,Somebody,Blue October,1
22,Something Told Me,Coal Chamber,1
23,Somewhat Damaged,Nine Inch Nails,1
24,South Of Heaven,Slayer,1
25,Sowing Season,Brand New,1
26,Space Bound,Eminem,1
27,Spaceship,Kanye West,1
28,Spade,Marilyn Manson,1
29,St. Anger,Metallica,1
30,Stan,Eminem,1
31,"Starfuckers, Inc.",Nine Inch Nails,1
32,Stationary Stationery,Anberlin,1
33,Stay Away,Nirvana,1
34,sum 41,skumfuk,1
35,Summer Cannibals,Patti Smith,1
36,Surviving The Times,Nas,1
37,Sweet Amber,Metallica,1
38,T H T,Sum 41,1
39,Tell That Mick He Just Made My List Of Things To Do Today,Fall Out Boy,1
40,Thanks For Nothing,Sum 41,1
41,The Angry Mob,Kaiser Chiefs,1
42,The Channel,Limp Bizkit,1
43,The Enemy (Album Version),Roadrunner United,1
44,The Four Horsemen,Metallica,1
45,The Key,Limp Bizkit,1
46,The Life And Death Of Mr. Badmouth,Pj Harvey,1
47,The Priest,Limp Bizkit,1
48,The Propaganda,Limp Bizkit,1
49,The Ripper,Judas Priest,1
50,The Story,Limp Bizkit,1
51,The Surrender,Limp Bizkit,1
52,The Unforgiven,Metallica,1
53,The Unnamed Feeling,Metallica,1
54,The Way I Am,Eminem,1
55,Time for You to Go,Sum 41,1
56,"tyler, the creator",yonkers,1
57,Underclass Hero,Sum 41,1
58,Use Your Fist And Not Your Mouth,Marilyn Manson,1
59,Violet,Hole,1
60,Want,Natalie Imbruglia,1
61,Want You Bad,The Offspring,1
62,Wargasm,L7,1
63,We'Re All To Blame,SUM 41,1
64,What Are You,David Gray,1
65,Wherever I May Roam,Metallica,1
66,Who Knew,Eminem,1
67,Who The Fuck_,Pj Harvey,1
68,With Teeth,Nine Inch Nails,1
69,You Could Be Mine,Guns N' Roses,1
70,You Know What You Are_,Nine Inch Nails,1
71,1(If Youre Wondering If I Want You To) I Want You To,Weezer,2
72,1234,Feist,2
73,5 Years Time,Noah And The Whale,2
74,93 Million Miles,Jason Mraz,2
75,A Name In This Town,Josh Thompson,2
76,Alfie,Lily Allen,2
77,All Star,Smash Mouth,2
78,All The Pretty Girls,Fun.,2
79,Amnesia,The Fabulous Thunderbirds,2
80,And Then You,Greg Laswell,2
