index,songName,artist,moodID,spotifyID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Till I Collapse,Eminem,1,4xkOaSrkexMciUUogZKVTS,0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447
1,25 To Life,Eminem,1,0dyWQoMOU9oERL6c9vxtRp,0.701,0.931,8,-0.945,0,0.243,0.239,0,0.194,0.362,79.996
2,A Century Ends,David Gray,1,4YYhPItcnkXI9XATrG4zQP,0.332,0.765,9,-8.251,1,0.0283,0.00144,0.000782,0.0463,0.69,168.361
3,ANIC,Sum 41,1,4DmIFrAIzohkghiYyihA15,0.551,0.891,11,-5.766,0,0.366,0.000255,4.40E-05,0.181,0.463,100.396
4,Rain Man,Eminem,1,2AuU35arXZdYoscOIxHWSc,0.836,0.494,9,-3.506,0,0.253,0.0968,0,0.078,0.456,88.04
5,Reason to Believe,Sum 41,1,4DJVmSP42li51r1C8zhURQ,0.238,0.717,5,-6.462,1,0.0852,0.00661,0,0.11,0.0627,174.448
6,Requiem,Lamb of God,1,0DxYrFOfiFShTbO2XdFpBX,0.284,0.99,2,-2.981,1,0.128,5.63E-05,0.00206,0.135,0.166,122.95
7,Rid Of Me,Pj Harvey,1,3m2Zd230K68bC4Qe961d9p,0.715,0.0885,9,-20.682,0,0.0521,0.00485,0.00694,0.155,0.544,125.383
8,Ride The Lightning,Metallica,1,36DLF96pjKydN0MZtsahQz,0.265,0.973,9,-6.129,1,0.173,5.15E-05,0.0942,0.205,0.27,148.506
10,Rootless Tree,Damien Rice,1,3tg6d7ykVICcYCn5Dd5V1c,0.475,0.691,11,-6.96,1,0.0326,0.348,0.0118,0.107,0.347,83.483
11,Rush,Talib Kweli,1,4nBGDP58Bv2SuI9GRL3a7q,0.665,0.923,6,-4.761,0,0.192,0.168,0,0.0462,0.772,98.036
