1,All Messed Up,Sum 41,1
2,All Nightmare Long,Metallica,1
3,American Idiot (Album Version),Green Day,1
4,Angry Again,Megadeth,1
5,Annihilation By The Hands Of God (Album Version),Roadrunner United,1
6,Another Time Around,Sum 41,1
7,Awaken,Disturbed,1
8,Ballad Of Ira Hayes,Johnny Cash,1
9,Battery,Metallica,1
10,Before You Die,Bad Religion,1
11,Blood Red,Slayer,1
12,You Oughta Know,Alanis Morissette,1
13,Blood Roses,Tori Amos,1
14,Break Stuff,Limp Bizkit,1
15,Breaking The Law,Judas Priest,1
16,Breaking Your Own Heart,Kelly Clarkson,1
17,Burn In My Light,Mercy Drive,1
18,Cage The Beast,Adelitas Way,1
19,Civil War,Guns N' Roses,1
20,Cleanin Out My Closet,Eminem,1
21,Costume Makes The Clown,Shakira,1
22,Creeping Death,Metallica,1
23,Criminal,Eminem,1
24,Dark Side,Kelly Clarkson,1
25,Dead And Gone,T.I.,1
26,Dead Beat,A Place To Bury Strangers,1
27,Dear Father,Sum 41,1
28,Defy You,The Offspring,1
29,do what they say,Korn,1
30,Don'T Cry,Guns N' Roses,1
31,Dope Hat,Marilyn Manson,1
32,Eat You Alive,Limp Bizkit,1
33,eminem,no afraid,1
34,"Endless, Nameless",Nirvana,1
35,Enter Sandman,Metallica,1
36,Erased,Annie Lennox,1
37,ever be,Korn,1
38,Evolution,Korn,1
39,Exit,Longwave,1
40,Eyeless [Explicit],Slipknot,1
41,Fat Lip,SUM 41,1
42,Flat On The Floor,Nickelback,1
43,Fuel,Metallica,1
44,Get Me Gone,Fort Minor,1
45,Going Through Changes,Eminem,1
46,Gone,Kelly Clarkson,1
47,Gunpowder & Lead,Miranda Lambert,1
48,Handle This,SUM 41,1
49,Hardly Wait,Pj Harvey,1
50,Heresy,Nine Inch Nails,1
51,Hero of the Soviet Union,The Dillinger Escape Plan,1
52,Hide And Seek,Dannii Minogue,1
53,Hit The Lights,Metallica,1
54,Holiday (Album Version),Green Day,1
55,Hurt,Adelitas Way,1
56,I Ain'T Goin' Out Like That,Cypress Hill,1
57,I Am Hated (Album Version),161,1
58,I Hate Everything About You,Three Days Grace,1
59,I'M Back,Eminem,1
60,In My Darkest Hour,Megadeth,1
61,Jesus Christ Pose,Soundgarden,1
62,Jumpdafuckup (Album Version),Soulfly,1
63,Kill You,Eminem,1
64,kiss,Korn,1
65,Kiss Off,Violent Femmes,1
66,Lamb Of God,Marilyn Mans,1
67,Leper Messiah,Metallica,1
68,Let Me Down,Kelly Clarkson,1
69,Liberate,Disturbed,1
70,Like Toy Soldiers,Eminem,1
71,Limp Bizkit,The Truth,1
72,Little Smirk,Theory Of A Deadman,1
73,Lose Yourself,Eminem,1
74,Lunchbox,Marilyn Manson,1
75,Marshall Mathers,Eminem,1
76,Master Of Puppets,Metallica,1
77,Maybe,Kelly Clarkson,1
78,Motivation,SUM 41,1
79,Motorbreath,Metallica,1
80,Mr. Know It All,Kelly Clarkson,1
81,Music Box,Eminem,1
82,My Derailment,Adelitas Way,1
83,My Life Would Suck Without You,Kelly Clarkson,1
84,Never Again,Kelly Clarkson,1
85,Nookie,Limp Bizkit,1
86,Nothing Else Matters,Metallica,1
87,One Mic,Nas,1
88,Only,Nine Inch Nails,1
89,Orchids,Stone Sour,1
90,Paint It Black,Vanessa Carlton,1
91,Pancake,Tori Amos,1
92,Physical (You'Re So),Nine Inch Nails,1
93,Pick Up the Phone,Falling In Reverse,1
94,Picture To Burn,Taylor Swift,1
95,Pig,Sparklehorse,1
96,Playing Your Song,Hole,1
97,Pretend We'Re Dead,L7,1
98,Pretty Fly (For A White Guy),The Offspring,1
99,Pride,Manchester Orchestra,1
100,Anyone Of Us (Stupid Mistake),Gareth Gates,2
101,Around The World,Aqua,2
102,Bruises,Chairlift,2
103,Bubbly,Colbie Caillat,2
104,Captains And Cruise Ships,Owl City,2
105,Carried Away,Passion Pit,2
106,Cartoon Heroes,Aqua,2
107,Caskets,Damien Jurado,2
108,Catholic Pagans,surfer blood,2
109,Chloe (You're The One I Want),Emblem3,2
110,Choose Love,Ringo Starr,2
111,Come To My Window,Melissa Etheridge,2
112,Crashed The Wedding,Busted,2
113,Cuddly Toy,The Monkees,2
114,Cups,Anna Kendrick,2
115,Cute,David Steinberg,2
116,Dancing In The Moonlight,Toploader,2
117,Dannyboy,Youngblood Hawke,2
118,Daydream Believer,The Monkees,2
119,Daylight,Matt & Kim,2
120,Dementia,Owl City,2
121,Do Ya Thang,Rihanna,2
122,Doing Fine (Without You),Pixie Lott,2
123,Don't Leave Me (Ne Me Quitte Pas),regina spektor,2
124,Don'T Let The Man Get You Down,Fatboy Slim,2
125,Don'T Stop Me Now,Queen,2
126,Don'T Stop Movin',S Club 7,2
127,Dream Catch Me,Newton Faulkner,2
128,Electric Daydream,Viva Brother,2
129,End Of The Line,Traveling Wilburys,2
130,Every Little Thing,Good Lovelies,2
131,Everyday,Sausalito Foxtrot,2
132,Everything At Once,Lenka,2
133,Falling Up,John Hiatt,2
134,Fascination,Alphabeat,2
135,Favorite Song,Colbie Caillat,2
136,Fireflies,Owl City,2
137,Forget That Girl,The Monkees,2
138,Foundations,Kate Nash,2
139,Free,Good Lovelies,2
140,Fun.,All The Pretty Girls,2
