index,songName,artist,moodID,spotifyID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,All Messed Up,Sum 41,1,7oKrfFlPUO7ranOLJSIpHf,0.443,0.935,4,-3.921,1,0.193,0.000623,0.000644,0.332,0.877,188.043
2,All Nightmare Long,Metallica,1,5w3TTTAo6DIEjQYO3vKZq0,0.271,0.985,9,-0.805,1,0.123,0.000568,0.00112,0.0809,0.354,182.981
3,American Idiot (Album Version),Green Day,1,7sbejDL0fYglLhKfISXQgU,0.652,0.341,8,-12.159,1,0.171,0.85,0.885,0.111,0.415,166.133
4,Angry Again,Megadeth,1,3CI1JP2ooMBSFjIy1u6Yrc,0.689,0.719,3,-8.643,0,0.0304,2.39E-05,0.679,0.314,0.959,127.982
6,Another Time Around,Sum 41,1,5xpJUSA6hP9W8KoKh0HBcb,0.438,0.957,9,-4.528,1,0.081,4.41E-05,0.00441,0.605,0.497,133.856
7,Awaken,Disturbed,1,2GryLec2PG5oj1vlihxJqx,0.656,0.978,8,-4.143,0,0.0736,0.000943,0.000153,0.229,0.668,99.051
8,Ballad Of Ira Hayes,Johnny Cash,1,4yyb1aL7ErpV1V08idUeXz,0.666,0.539,9,-10.912,1,0.0414,0.664,9.96E-06,0.153,0.851,104.429
9,Battery,Metallica,1,7wz8LNfmGZ3C0PwKW9LdDg,0.48,0.923,11,-8.793,0,0.0682,0.000211,0.531,0.106,0.44,96.535
10,Before You Die,Bad Religion,1,79MB7jmCne3vRqqVhgElvM,0.446,0.915,10,-3.455,0,0.0639,0.000628,7.51E-05,0.0619,0.647,168.119
11,Blood Red,Slayer,1,6arwi3zmmfqvzHZoMSe8dw,0.407,0.98,5,-3.823,0,0.0896,0.00111,0.000387,0.103,0.344,133.326
12,You Oughta Know,Alanis Morissette,1,3jS7bB0oXVOwGFZn3aE5NV,0.665,0.834,4,-7.737,1,0.0576,0.21,0,0.452,0.411,105.292
13,Blood Roses,Tori Amos,1,4TB1VONcmN1kmzcgMwraZ0,0.336,0.368,8,-11.893,0,0.0401,0.827,0,0.281,0.498,76.646
