1,All Messed Up,Sum 41,164,1
2,All Nightmare Long , Metallica,477,1
3,American Idiot (Album Version) , Green Day,176,1
4,Angry Again , Megadeth,242,1
5,Annihilation By The Hands Of God (Album Version) , Roadrunner United ,333,1
6,Another Time Around,Sum 41,416,1
7,Awaken,Disturbed,269,1
8,Ballad Of Ira Hayes,Johnny Cash,173,1
9,Battery , Metallica,316,1
10,Before You Die,Bad Religion,412,1
11,Blood Red,Slayer,167,1
12,You Oughta Know,Alanis Morissette,329,1
13,Blood Roses , Tori Amos,322,1
14,Break Stuff,Limp Bizkit,168,1
15,Breaking The Law , Judas Priest,153,1
16,Breaking Your Own Heart,Kelly Clarkson,232,1
17,Burn In My Light,Mercy Drive,634,1
18,Cage The Beast , Adelitas Way,197,1
19,Civil War , Guns N' Roses,466,1
20,Cleanin Out My Closet,Eminem,303,1
21,Costume Makes The Clown,Shakira,192,1
22,Creeping Death , Metallica,396,1
23,Criminal,Eminem,321,1
24,Dark Side,Kelly Clarkson,224,1
25,Dead And Gone , T.I.,304,1
26,Dead Beat , A Place To Bury Strangers,215,1
27,Dear Father,Sum 41,234,1
28,Defy You , The Offspring,228,1
29,do what they say,Korn,257,1
30,Don'T Cry,Guns N' Roses,288,1
31,Dope Hat , Marilyn Manson,261,1
32,Eat You Alive , Limp Bizkit,237,1
33,eminem,no afraid,248,1
34,"Endless, Nameless",Nirvana,405,1
35,Enter Sandman,Metallica,459,1
36,Erased,Annie Lennox,280,1
37,ever be,Korn,770,1
38,Evolution,Korn,218,1
39,Exit , Longwave,231,1
40,Eyeless [Explicit],Slipknot,240,1
41,Fat Lip,SUM 41,180,1
42,Flat On The Floor,Nickelback,125,1
43,Fuel , Metallica,272,1
44,Get Me Gone,Fort Minor,121,1
45,Going Through Changes,Eminem,797,1
46,Gone , Kelly Clarkson,208,1
47,Gunpowder & Lead,Miranda Lambert,514,1
48,Handle This,SUM 41,218,1
49,Hardly Wait,Pj Harvey,169,1
50,Heresy,Nine Inch Nails,235,1
51,Hero of the Soviet Union,The Dillinger Escape Plan,179,1
52,Hide And Seek,Dannii Minogue,190,1
53,Hit The Lights , Metallica,254,1
54,Holiday (Album Version) , Green Day,0,1
55,Hurt , Adelitas Way,236,1
56,I Ain'T Goin' Out Like That,Cypress Hill,268,1
57,I Am Hated (Album Version),161,,1
58,I Hate Everything About You,Three Days Grace,233,1
59,I'M Back,Eminem,312,1
60,In My Darkest Hour , Megadeth,389,1
61,Jesus Christ Pose , Soundgarden,383,1
62,Jumpdafuckup (Album Version),Soulfly,311,1
64,Kill You,Eminem,267,1
65,kiss,Korn,250,1
66,Kiss Off,Violent Femmes,176,1
67,Lamb Of God,Marilyn Mans,746,1
68,Leper Messiah , Metallica,343,1
69,Let Me Down,Kelly Clarkson,207,1
70,Liberate , Disturbed,211,1
71,Like Toy Soldiers , Eminem,303,1
72,Limp Bizkit,The Truth,327,1
73,Little Smirk,Theory Of A Deadman,211,1
74,Lose Yourself,Eminem,330,1
75,Lunchbox,Marilyn Manson,274,1
76,Marshall Mathers,Eminem,323,1
77,Master Of Puppets,Metallica,517,1
78,Maybe , Kelly Clarkson,267,1
79,Motivation,SUM 41,171,1
80,Motorbreath , Metallica,202,1
81,Mr. Know It All , Kelly Clarkson,235,1
82,Music Box,Eminem,310,1
83,My Derailment,Adelitas Way,217,1
84,My Life Would Suck Without You,Kelly Clarkson,215,1
85,Never Again , Kelly Clarkson,222,1
86,Nookie , Limp Bizkit,266,1
87,Nothing Else Matters,Metallica,392,1
88,One Mic , Nas,269,1
89,Only,Nine Inch Nails,701,1
90,Orchids,Stone Sour,264,1
91,Paint It Black,Vanessa Carlton,215,1
92,Pancake,Tori Amos,357,1
93,Physical (You'Re So),Nine Inch Nails,331,1
94,Pick Up the Phone,Falling In Reverse,279,1
95,Picture To Burn,Taylor Swift,179,1
96,Pig,Sparklehorse,146,1
97,Playing Your Song,Hole,203,1
98,Pretend We'Re Dead , L7,235,1
99,Pretty Fly (For A White Guy) , The Offspring,189,1
100,Pride,Manchester Orchestra,361,1
1,Anyone Of Us (Stupid Mistake),Gareth Gates,231,2
2,Around The World,Aqua,213,2
3,Bruises,Chairlift,241,2
4,Bubbly,Colbie Caillat,222,2
5,Captains And Cruise Ships,Owl City,246,2
6,Carried Away,Passion Pit,224,2
7,Cartoon Heroes,Aqua,229,2
8,Caskets,Damien Jurado,178,2
9,Catholic Pagans,surfer blood,193,2
10,Chloe (You're The One I Want),Emblem3,592,2
11,Choose Love,Ringo Starr,188,2
12,Come To My Window,Melissa Etheridge,237,2
13,Crashed The Wedding,Busted,162,2
14,Cuddly Toy,The Monkees,165,2
15,Cups,Anna Kendrick,77,2
16,Cute,David Steinberg,229,2
17,Dancing In The Moonlight,Toploader,233,2
18,Dannyboy,Youngblood Hawke,187,2
19,Daydream Believer,The Monkees,468,2
20,Daylight,Matt & Kim,171,2
21,Dementia,Owl City,215,2
22,Do Ya Thang,Rihanna,223,2
23,Doing Fine (Without You),Pixie Lott,190,2
24,Don't Leave Me (Ne Me Quitte Pas),regina spektor,220,2
25,Don'T Let The Man Get You Down,Fatboy Slim,241,2
26,Don'T Stop Me Now,Queen,212,2
27,Don'T Stop Movin',S Club 7,237,2
28,Dream Catch Me,Newton Faulkner,240,2
29,Electric Daydream,Viva Brother,229,2
30,End Of The Line,Traveling Wilburys,207,2
31,Every Little Thing,Good Lovelies,201,2
32,Everyday,Sausalito Foxtrot,102,2
33,Everything At Once,Lenka,160,2
34,Falling Up,John Hiatt,220,2
35,Fascination,Alphabeat,186,2
36,Favorite Song,Colbie Caillat,230,2
37,Fireflies,Owl City,230,2
38,Forget That Girl,The Monkees,150,2
39,Foundations,Kate Nash,218,2
40,Free,Good Lovelies,177,2
41,Fun.,All The Pretty Girls,203,2
42,Funny Little Frog,belle and sebastian,188,2
